character_name,dialogue,polarity,frase
susan strong,"  Long ago, my people live in Beautopia... but driven out by Lub Glubs. We come here. We too scared to fight back. This why we need your hero heart. Hyoomans! ,  I'll be back!",-0.4468,Frase 171
susan strong,  Come on. We swim there.,0.0,Frase 172
susan strong,[' We go.'],0.0,Frase 173
susan strong," You no gills. ,  We take boat.",-0.296,Frase 174
susan strong,  There. ,0.0,Frase 175
susan strong,  Keeps looking for Lub Glubs.,0.0,Frase 176
susan strong,[' No move!'],-0.3595,Frase 177
susan strong,"  Whew, we safe now. ",0.4404,Frase 178
susan strong,  Getting close to the Lub Glubs' mash-'em-ups.,0.0,Frase 179
susan strong,  Behold!,0.0,Frase 180
susan strong,  The clashing gates!,0.0,Frase 181
susan strong,"["" 'S okay. Susan know when is safe to pass through.""]",0.5859,Frase 182
susan strong,  Go... now!,0.0,Frase 183
susan strong,"  Oh, good. Still got some boat left.",0.4404,Frase 184
susan strong,  Hmm... never made this far before. Just gotta get past Lub Glubs.,0.0,Frase 185
susan strong,"  They... umm, look, they like this. ",0.3612,Frase 186
susan strong,  Yes. Lub Glubs crazy scary. Hyoomans scared so long. Even Susan. That why glad I meet you. You have brave heart. ,0.1531,Frase 187
susan strong,[' We here? We at B-Beautopia! '],0.0,Frase 188
susan strong,  We's be alls good once bring red flower to city heart.,0.4404,Frase 189
susan strong,  Lub Glubs! They coming!,0.0,Frase 190
susan strong,[' Shh! Shh! Too many Lub Glubs to fight!'],0.0,Frase 191
susan strong," Susan scared... but Susan brave, too. ,  SUUSSSAAANN!!!!! ",0.7762,Frase 192
susan strong,[' Finn! Jake!'],0.0,Frase 193
susan strong,  Red flower! Throw it to city heart!,0.0,Frase 194
susan strong,[' Hmm.'],0.0,Frase 195
susan strong,"  Finn, you stay.",0.0,Frase 196
susan strong," Hmph. ,  Go away, robots!",0.0,Frase 197
susan strong, Baby.,0.0,Frase 198
susan strong," Oh, dang! ",0.0,Frase 199
susan strong,,0.0,Frase 200
susan strong, Baby.,0.0,Frase 201
susan strong,,0.0,Frase 202
susan strong, Hmm?,0.0,Frase 203
susan strong," Hmm? ,  Cheryl. ,  Where's baby? Cheryl better talk. ",0.504,Frase 204
susan strong, Baby!,0.0,Frase 205
susan strong," No! ,  This is fake style bubblehead. Cheryl trying to trick us!",-0.7256,Frase 206
susan strong, Baby! That hole too small for Susan.,0.0,Frase 207
susan strong," If Sally say so... ,  Hup! Hyah!",0.0,Frase 208
susan strong," You two, follow baby cries.",-0.4019,Frase 209
susan strong," Susan will find other way. Hmm? ,  Hmm... ",0.0,Frase 210
susan strong, Uh.,0.0,Frase 211
susan strong, Baby!,0.0,Frase 212
susan strong, Now you tell Susan where you take baby or I'm—,0.0,Frase 213
susan strong, Baby.,0.0,Frase 214
susan strong, Susan is camouflaged.,0.0,Frase 215
susan strong, Why is Susan in this line? Susan didn't think this through.,0.0,Frase 216
susan strong, Susan needs no fizz! Susan have hero heart!,0.4559,Frase 217
susan strong, Ugh. It's sticky.,-0.4215,Frase 218
susan strong, You a good doggy? You know where baby is? Doggy help Susan?,0.7303,Frase 219
susan strong, No!,-0.3595,Frase 220
susan strong," Tsk, tsk, tsk.",0.0,Frase 221
susan strong," Baby! Hold on, baby!",0.0,Frase 222
susan strong, Susan hates Cheryl!,-0.4926,Frase 223
susan strong, Yes. Susan is the dingus. Now gimme the baby!,0.4574,Frase 224
susan strong, Don't drink that.,0.0,Frase 225
susan strong, Stop!,-0.3595,Frase 226
susan strong," Yes, I am Cheryl. ",0.4019,Frase 227
susan strong," And Cheryl says this is what we do now. Back to work! Everybody, destroy the factory!",-0.6229,Frase 228
susan strong," No, Cheryl. Susan will not enjoy!",-0.6273,Frase 229
susan strong, No. It fake juice. Tough-guy hyoomans do not drink fake juice.,-0.8126,Frase 230
susan strong," Eh?! Baby! ,  Baby!",0.0,Frase 231
cake,"  What are these boogers for, anyway?",0.0,Frase 232
cake,"  Fionna, we got trouble! My tail is totally frizzin' out!",-0.508,Frase 233
cake,  We'd love to!,0.6696,Frase 234
cake,"["" Yes, we'll be there!""]",0.4574,Frase 235
cake,"  Oh, it's a date!",0.0,Frase 236
cake,"  Shut up, he's into you!",0.0,Frase 237
cake,"  Well, that could change tonight.",0.2732,Frase 238
cake,"  I'm coming to help you! Hold on, I'm bringing my dulcimer.",0.4574,Frase 239
cake,  It's a conversation starter. ,0.0,Frase 240
cake,"  No! No retreat, girl.",-0.4389,Frase 241
cake,"  Hiya, gorgeous.",0.6124,Frase 242
cake,  Catnip! Sweet babies! ,0.555,Frase 243
cake,"["" Psst, Fi, tell Gumball that you think he's hot.""]",0.0,Frase 244
cake,"["" Guys like to hear that they're hot!""]",0.4199,Frase 245
cake,"  After him, Fionna. After your man. ",0.0,Frase 246
cake,  Why are y'all breathless if we're the ones running?,0.0,Frase 247
cake,  See you back at the tree house. ,0.0,Frase 248
cake,  I know! I was there for that part!,0.0,Frase 249
cake,"  Oh, my goodness! It's almost seven! You need something to wear! Oh, hold on honey, I am gonna make this happen!",0.6331,Frase 250
cake,  It's a ball! You don't need weapons!,0.457,Frase 251
cake,"  Okay! Lets go, go, go!",0.3578,Frase 252
cake,"  Okay, girl! I'll see you later!",0.3578,Frase 253
cake,  Fionna!,0.0,Frase 254
cake,"  WHAT'S GOING ON IN HE— ,  AAAHH! Don't you touch her! ",0.0,Frase 255
cake,  Ha ha! I'm a queen! ,0.658,Frase 256
cake,"  Me, too. Ice King's the real deal!",0.0,Frase 257
cake,"  Good job, girl! Have some spaghetti!",0.5399,Frase 258
cake,  That's not a book! It's a bomb!,0.4959,Frase 259
cake,"  Aww, what a sweetie!",0.5411,Frase 260
cake,"  Hop on, baby!",0.0,Frase 261
cake,"  Ooh, nice throw!",0.4753,Frase 262
cake,  What about Gumball's mission we went on this morning? Delivering daisy chains to the fluffy people not enough for you?,0.0,Frase 263
cake,  I'm not going out there! It's wet.,0.0,Frase 264
cake,[' Fionna!'],0.0,Frase 265
cake,"  ♫ Oh, oh! ,  I got a hot potata! And I gots two hot tomatas! Well they'll make a good sauce maybe... ♫",0.7074,Frase 266
cake,['\xa0♫ ... on the table... the table... for as long as I am able! ♫'],0.0,Frase 267
cake,"  Hey, break it up, you too!!",0.0,Frase 268
cake,  Yeah...,0.0,Frase 269
cake,"  Uh-uh boy, what are you thinking?",0.0,Frase 270
cake,  Fionna!,0.0,Frase 271
cake,  Grab onto my little paws!,0.0,Frase 272
cake,"  Oh, goodness!",0.5093,Frase 273
cake, Ya!,0.0,Frase 274
cake, Ha! Dance you puppets!,0.4559,Frase 275
cake, How'd he know your name?,0.0,Frase 276
cake, Y'all seeing those big floaty faces?,0.0,Frase 277
cake," Yeah, whatever.",0.296,Frase 278
cake, Haha! Cake's helping!,0.6988,Frase 279
cake,  Give us the Enchiridion!,0.0,Frase 280
cake," Yes, your hotness!",0.4574,Frase 281
tiffany,"["" Jake's MY best friend now! FOREVER!""]",0.8395,Frase 282
tiffany,[' No! Jake will be mine!'],-0.4184,Frase 283
tiffany,"  You'll never defeat me! I will! Be Jake's best friend! Because I'm! Tiffanyyyy ,  Ahhhhhh!",0.9011,Frase 284
tiffany," Well, well. From the shadows of dream, the dog wakes to find its—ugh—, —the dog wakes to find its mangy tail flopping in the dust like a fish in a tree. That fish is me! Tiffany! ,  I'm coming Jake, I'm coming!",0.8213,Frase 285
tiffany," Never mind that, the real question is what's that slo-mo Finn know about this?",0.0,Frase 286
tiffany," Can't ya see guys, he's desperate! Somebody got to him 'cause he's soft now.",-0.3802,Frase 287
tiffany," Glom you, Jake.",0.0,Frase 288
tiffany, What the—?!,0.0,Frase 289
tiffany," I know that vault inside and out! Every guard rotation, every camera, every deadly trap. And that safe is locked up so tight it makes me wanna spit out my guts and cry about it. Do you even have a plan, Jake?!",-0.4738,Frase 290
tiffany," Just like old times, right, Jake? When we were blood, we'd follow each other in the jaws of death on a pale horse.",-0.34,Frase 291
tiffany, The Baker's Shard is on the other side of—that. The Corridor of a Thousand Deaths.,0.0,Frase 292
tiffany," Now—ugh—, —I'm the dog, and you're the tail! Now you chase me! You chase my dreams! ",0.5538,Frase 293
tiffany," Oh crud! Jake, I love you! I love youuu!",0.8827,Frase 294
tiffany," Tiffany! Finn, I'm gonna kill you!",-0.7418,Frase 295
tiffany," Yo, Finn! I'm gonna kill you!",-0.7418,Frase 296
tiffany, Ruff! Thought so. ,0.0,Frase 297
tiffany," Yeah, I lost my teeth eating the Baker's Shard. It's a lot of sugar, right?",-0.0258,Frase 298
tiffany," See, this is a good example of why I want to kill you. You're ignorant. ,  Heed my words, Finn. As the miller's wheel forever outrages the seed, so the good apple boringly receives his neighbor's worm.",-0.6124,Frase 299
tiffany, And all the corn gets smooshed to grease—to grease under the miller's fleaping wheel.,0.0,Frase 300
tiffany, You're getting greased!,0.0,Frase 301
tiffany," Bygones? Ha! ,  That's you. Bye! ,  Gone!",0.5067,Frase 302
tiffany, Bye-gone! ,0.0,Frase 303
tiffany," Tonight, light's out. Tomorrow, your eyes out!",0.0,Frase 304
tiffany," I don't need some fancy thinger to kick butt when I've got these! ,  You know about these?",0.0,Frase 305
tiffany," You will. Anyway, I just kinda wanted your sword 'cause it's pretty cool, I guess. Whatever. I'll get it soon enough... from off your dead corpse, you chump! ",-0.5848,Frase 306
tiffany, Bullstuff.,0.0,Frase 307
tiffany, I was friends with Jake. Then some baritone herb stole him away from me.,0.4767,Frase 308
tiffany," And when that snow-white wiener dog is finally dead, Jake will be devastated.",-0.8519,Frase 309
tiffany," He'll need a shoulder to cry whiny, Finn-style tears on, and that shoulder will be mine—Tiffany's! Then I can get busy with undoing your cheesy influence, plus more! With my help, Jake will become the criminal juggernaut he was always meant to be.",-0.7202,Frase 310
tiffany, We won't just be robbing banks anymore.,0.0,Frase 311
tiffany, We'll be robbing the actual banks. The whole banks!,0.0,Frase 312
tiffany, You get it? We're gonna steal actual whole buildings.,-0.4939,Frase 313
tiffany," So don't tell me we're not so different, okay?! We're opposites, you and me. Oil and goody-goody snow-white baby-vanilla bean mitten water! Go, Tiffany! ",0.0,Frase 314
tiffany," Finn! Get in here, quick!",0.0,Frase 315
tiffany,"["" There's something moving in the walls. It was like ""]",0.3612,Frase 316
tiffany, You good?,0.4404,Frase 317
tiffany, Finn!,0.0,Frase 318
tiffany, Mm...,0.0,Frase 319
tiffany," You're right, Finn. I can't bring myself to do it...",0.0,Frase 320
tiffany," ...but I can't bring myself to save you, either.",0.4939,Frase 321
tiffany, Why are you still smiling?,0.4588,Frase 322
tiffany," Look, you're—you're on your own. I'm sorry.",-0.0772,Frase 323
tiffany," Catch you on the flip, I guess.",0.0,Frase 324
tiffany,,0.0,Frase 325
tiffany, ,0.0,Frase 326
tiffany, —daddy! ,0.0,Frase 327
finn & jake,  Tree Trunks! ,0.0,Frase 328
finn & jake,  Next to a little dancing guy every morning!,0.0,Frase 329
finn & jake,  ,0.0,Frase 330
finn & jake,  ,0.0,Frase 331
finn & jake,  Awww...,0.0,Frase 332
finn & jake,[' Ooo.'],0.0,Frase 333
finn & jake,[' To being great adventurers!'],0.6588,Frase 334
finn & jake,"["" Hahaha! Yeah! We want 'em! Give us the stuff!""]",0.8057,Frase 335
finn & jake,  Whoa!,0.0,Frase 336
finn & jake,[' Wooow!'],0.0,Frase 337
finn & jake,[' What?!'],0.0,Frase 338
finn & jake,  What?!,0.0,Frase 339
finn & jake,  ,0.0,Frase 340
finn & jake,"  Whoa, wait! ,  Aw, man!",0.0,Frase 341
finn & jake,  ,0.0,Frase 342
finn & jake,  Secret door!,0.0,Frase 343
finn & jake,[' Nice King! Yeeeaah! '],0.5242,Frase 344
finn & jake,[' Huh? '],0.0,Frase 345
finn & jake,  ,0.0,Frase 346
finn & jake,  Yeeah! We're knights! Niiice...,0.0,Frase 347
finn & jake,"[' Get ready, Ice King, for battle!']",0.4199,Frase 348
finn & jake,[' The Nice King is the Ice King!'],0.4753,Frase 349
finn & jake,  ,0.0,Frase 350
finn & jake,  Wha?,0.0,Frase 351
finn & jake,  Whoa! ,0.0,Frase 352
finn & jake,  Wha?!,0.0,Frase 353
finn & jake,  Huh! ,0.0,Frase 354
finn & jake,  Yeah!,0.3595,Frase 355
finn & jake,  Whoa! ,0.0,Frase 356
finn & jake,  Drop Ball?,-0.2732,Frase 357
finn & jake,  Whoa! ,0.0,Frase 358
finn & jake,  Huh?,0.0,Frase 359
finn & jake,  Snail attack!,-0.5255,Frase 360
finn & jake,  Aaaaaah! Oof!,0.0,Frase 361
finn & jake,  Whoa! Aaah!,0.0,Frase 362
finn & jake,  Lady time! ,0.0,Frase 363
finn & jake,  No!,-0.3595,Frase 364
finn & jake,  Aaah!,0.0,Frase 365
finn & jake,  ,0.0,Frase 366
finn & jake,  Whoa!,0.0,Frase 367
finn & jake,"  Oh, BMO!",0.0,Frase 368
finn & jake,  ,0.0,Frase 369
finn & jake,  Haha! Yeah!,0.6988,Frase 370
finn & jake,  Whoo! Awesome.,0.6588,Frase 371
finn & jake,['\xa0Ooooh.'],0.0,Frase 372
finn & jake,  Oooooo!,0.0,Frase 373
finn & jake,  Ahh!,0.0,Frase 374
finn & jake,  Yeah! The Princess Plant!,0.4184,Frase 375
finn & jake,"  Yay, hugs!",0.784,Frase 376
finn & jake,"[' ♫ Dream, dream, dream, dream, dream...♪']",0.7184,Frase 377
finn & jake,  What?!,0.0,Frase 378
finn & jake,  Whoaa.,0.0,Frase 379
finn & jake,  Heat Signature 3.,0.0,Frase 380
finn & jake,"  ""Warning. Federal law provides severe and criminal penalties for the unauthorized exhibition of copyrighted motion pictures.""",-0.7184,Frase 381
finn & jake,  Movie filming time!,0.0,Frase 382
finn & jake,"  Yeah, perfect.",0.7096,Frase 383
finn & jake,"  Yeah, look great.",0.743,Frase 384
finn & jake,  That's even better!,0.4926,Frase 385
finn & jake, King and Queen Lumpy Space!,0.0,Frase 386
finn & jake, Nothing scares us!,0.3244,Frase 387
finn & jake, NOOOOOOOO!,0.0,Frase 388
finn & jake,,0.0,Frase 389
finn & jake,  LSP!,0.0,Frase 390
finn & jake, Wha—?!,0.0,Frase 391
finn & jake,  ,0.0,Frase 392
finn & jake, Nice!,0.4753,Frase 393
finn & jake,  Ahh! ,0.0,Frase 394
finn & jake,  Whoa ,0.0,Frase 395
finn & jake,  Aah!,0.0,Frase 396
finn & jake,"  Hey/Uhhh, you sound weird!",-0.2481,Frase 397
finn & jake,"  Shh, shh, shh!!",0.0,Frase 398
finn & jake,  ,0.0,Frase 399
finn & jake,[' UGH!'],0.0,Frase 400
finn & jake," Aaaaaahhhh.... ,  ZAH!!",0.0,Frase 401
finn & jake,  Hmmm.,0.0,Frase 402
finn & jake,,0.0,Frase 403
finn & jake, AHHHhhhh...,0.0,Frase 404
finn & jake, Marceline's dad.,0.0,Frase 405
finn & jake, Tight!,0.0,Frase 406
finn & jake, Ow!,0.0,Frase 407
finn & jake, Woohoo!,0.5562,Frase 408
finn & jake, MARCELINE?!,0.0,Frase 409
finn & jake,  Marceline! ,0.0,Frase 410
finn & jake,  Your princess?,0.0,Frase 411
finn & jake," Wow! ,  Aww! She's cute.",0.8118,Frase 412
finn & jake,"  Wow, DNA?!",0.6239,Frase 413
finn & jake," Yea! ,  Yeah! Teachers! ,  Yeah, woo-hoo! ,  Teach, teaching teachers.",0.6776,Frase 414
finn & jake,"  Woow, woow, woow!",0.0,Frase 415
finn & jake," She's chilling in the garden! ,  We left her outside the garden!",-0.1739,Frase 416
finn & jake,  AAH!,0.0,Frase 417
finn & jake,  We did it!,0.0,Frase 418
finn & jake,  G'night!,0.0,Frase 419
finn & jake,  What?,0.0,Frase 420
finn & jake,  What is it?,0.0,Frase 421
finn & jake,  Show us now!,0.0,Frase 422
finn & jake,  What you said!,0.0,Frase 423
finn & jake,  Too late for take-backs! We practically know everything already! Now show us!,0.0,Frase 424
finn & jake,"[' Oh, no! ']",-0.3595,Frase 425
finn & jake, My cars are cheap.,0.0,Frase 426
finn & jake, Turn out the lights.,0.0,Frase 427
finn & jake, Another name.,0.0,Frase 428
finn & jake, Bite.,0.0,Frase 429
finn & jake, Ow!,0.0,Frase 430
finn & jake,  ,0.0,Frase 431
finn & jake,  Whoa!,0.0,Frase 432
finn & jake,  ,0.0,Frase 433
finn & jake,  ,0.0,Frase 434
finn & jake,  ,0.0,Frase 435
finn & jake,,0.0,Frase 436
finn & jake,  ,0.0,Frase 437
finn & jake,  ,0.0,Frase 438
finn & jake,  ,0.0,Frase 439
finn & jake,  ,0.0,Frase 440
finn & jake,  ,0.0,Frase 441
finn & jake,  ,0.0,Frase 442
finn & jake,  ,0.0,Frase 443
finn & jake,  ,0.0,Frase 444
finn & jake,  ,0.0,Frase 445
finn & jake, Gunther?!,0.0,Frase 446
finn & jake, WHAAAA!,0.0,Frase 447
finn & jake,  Ice King!,0.0,Frase 448
finn & jake,  Wha?!,0.0,Frase 449
finn & jake,  Bye... ,0.0,Frase 450
finn & jake,[' Ohhhh.'],0.0,Frase 451
finn & jake," Ohhhh! ,  Ahhh!",0.0,Frase 452
finn & jake,[' Throw-n-catch! Throw-n-catch!'],0.0,Frase 453
finn & jake, Woo! woo! woo!,0.88,Frase 454
finn & jake,,0.0,Frase 455
finn & jake,,0.0,Frase 456
